Marca temporal,Edad,Género,¿Tienes carnet de conducir?,"En caso de tener carnet, ¿Cuántos años de experiencia conduciendo?","¿Juegas a videojuegos de conducción? (F1, Forza, Gran Turismo, etc.)","En caso de que juegues a videojuegos de conducción, ¿Con qué frecuencia?","¿Cuánta actividad mental y perciptiva fue necesaria? (mirar, decidir, calcular, recordar)",¿Cuánto esfuerzo físico fue necesario?,¿Sentiste prisa o presión en cuanto al tiempo?,¿Cómo de exitoso crees que fuiste en cumplir la tarea?,¿Cómo de duro tuviste que trabajar para lograr el nivel de rendimiento?,"¿Cómo de inseguro, desalentado o irritado te sentiste?",Me sentí seguro controlando el vehículo en este modo,Fue fácil mantener el vehículo dentro del carril o la trayectoria deseada,Pude hacer las curvas con facilidad,"Sentí que estaba ""dentro del vehículo""",El retardo entre mi acción y la respuesta del vehículo fue molesto,La calidad del video fue suficiente para conducir con seguridad
6/02/2026 12:53:07,25,Mujer,Si,1.5,No,,7,2,2,2,5,5,1,1,1,1,4,4
6/02/2026 12:53:08,24,Mujer,Si,0,No,,4,2,2,6,2,7,3,2,2,2,4,5
6/02/2026 12:54:12,23,Hombre,Si,1.5,No,,5,1,2,5,4,3,4,2,4,1,4,4
6/02/2026 12:55:20,31,Hombre,No,,Si,Frecuentemente,6,2,5,6,5,5,4,3,2,4,4,5
6/02/2026 12:55:45,26,Hombre,Si,8,Si,Ocasionalmente,4,1,1,6,2,1,3,4,4,1,4,5
6/02/2026 13:00:09,42,Mujer,Si,20,No,,6,6,1,3,5,5,2,2,2,3,3,4
6/02/2026 13:11:06,26,Hombre,Si,8,No,,6,4,5,5,5,5,2,1,1,2,4,3
6/02/2026 21:17:14,26,Hombre,Si,8,Si,Ocasionalmente,4,2,3,5,4,4,2,3,3,2,4,4
20/02/2026 13:15:46,24,Hombre,Si,6,Si,Ocasionalmente,5,2,3,4,6,6,2,1,2,2,4,5
23/02/2026 10:22:42,24,Hombre,Si,7,Si,Frecuentemente,4,1,4,6,2,2,4,4,4,3,1,4
